Suburb,Rooms,Price,Date,Distance,Bedroom2,Bathroom,Car,Landsize,Lattitude,Longtitude,year,month,Type_h,Type_t,Type_u,Region_EM,Region_NM,Region_SEM,Region_SM,Region_WM
Abbotsford,3,955000.0,2016-09-17,2.5,3,1,0,183.0,-37.8022,144.9975,2016,9,1,0,0,0,1,0,0,0
Abbotsford,2,890000.0,2016-09-17,2.5,2,1,1,150.0,-37.8011,145.0004,2016,9,1,0,0,0,1,0,0,0
Abbotsford,4,1330000.0,2017-03-18,2.5,4,2,2,780.0,-37.8073,144.9952,2017,3,1,0,0,0,1,0,0,0
Abbotsford,2,1100000.0,2016-06-18,2.5,2,2,1,124.0,-37.8079,144.9977,2016,6,1,0,0,0,1,0,0,0
Abbotsford,2,1315000.0,2016-11-19,2.5,2,1,0,147.0,-37.808,144.994,2016,11,1,0,0,0,1,0,0,0
Abbotsford,3,1447500.0,2016-08-22,2.5,3,3,1,166.0,-37.8017,145.0001,2016,8,1,0,0,0,1,0,0,0
Abbotsford,2,1135000.0,2016-08-22,2.5,2,2,2,98.0,-37.8005,144.9952,2016,8,1,0,0,0,1,0,0,0
Abbotsford,3,1290000.0,2017-02-25,2.5,3,2,2,147.0,-37.805,144.9943,2017,2,1,0,0,0,1,0,0,0
Abbotsford,3,1290000.0,2017-02-25,2.5,3,1,1,168.0,-37.8007,144.9958,2017,2,1,0,0,0,1,0,0,0
Abbotsford,2,1180000.0,2016-11-27,2.5,2,1,0,162.0,-37.8016,144.9956,2016,11,1,0,0,0,1,0,0,0
Abbotsford,3,1195000.0,2016-11-27,2.5,3,2,1,120.0,-37.8022,144.9954,2016,11,1,0,0,0,1,0,0,0
Abbotsford,2,1012500.0,2016-05-28,2.5,2,1,0,182.0,-37.8021,144.9976,2016,5,1,0,0,0,1,0,0,0
Abbotsford,2,1030000.0,2016-07-30,2.5,2,1,1,172.0,-37.8086,144.9946,2016,7,1,0,0,0,1,0,0,0
Airport West,3,840000.0,2016-09-03,13.5,3,2,1,303.0,-37.718,144.878,2016,9,0,1,0,0,0,0,0,1
Airport West,2,603000.0,2017-03-04,13.5,2,1,1,272.0,-37.7294,144.888,2017,3,1,0,0,0,0,0,0,1
Airport West,3,700000.0,2017-03-04,13.5,3,2,2,239.0,-37.7218,144.8837,2017,3,0,1,0,0,0,0,0,1
Airport West,3,600000.0,2017-03-04,13.5,2,1,1,290.0,-37.7273,144.8744,2017,3,1,0,0,0,0,0,0,1
Airport West,2,500000.0,2017-03-04,13.5,2,1,1,168.0,-37.7215,144.8864,2017,3,0,0,1,0,0,0,0,1
Airport West,3,720000.0,2016-08-06,13.5,2,1,1,620.0,-37.7173,144.8872,2016,8,1,0,0,0,0,0,0,1
Airport West,4,785000.0,2016-08-06,13.5,3,1,2,597.0,-37.7259,144.8792,2016,8,1,0,0,0,0,0,0,1
Airport West,2,450000.0,2016-05-07,13.5,2,1,1,110.0,-37.7216,144.871,2016,5,0,1,0,0,0,0,0,1
Airport West,2,515000.0,2016-11-07,13.5,2,1,1,141.0,-37.7298,144.8883,2016,11,0,0,1,0,0,0,0,1
Airport West,2,530000.0,2016-09-10,13.5,2,1,1,120.0,-37.7234,144.8792,2016,9,0,0,1,0,0,0,0,1
Airport West,3,752000.0,2017-02-11,13.5,3,1,1,265.0,-37.7302,144.8855,2017,2,0,0,1,0,0,0,0,1
Airport West,2,440000.0,2016-08-13,13.5,2,1,1,192.0,-37.7177,144.8787,2016,8,0,0,1,0,0,0,0,1
Airport West,5,755000.0,2016-05-14,13.5,3,2,2,596.0,-37.7248,144.8699,2016,5,1,0,0,0,0,0,0,1
Airport West,3,700000.0,2016-10-15,13.5,3,2,2,165.0,-37.727,144.887,2016,10,0,1,0,0,0,0,0,1
Airport West,3,830000.0,2016-04-16,13.5,3,1,2,971.0,-37.7186,144.876,2016,4,1,0,0,0,0,0,0,1
Airport West,2,462500.0,2016-07-16,13.5,2,1,1,164.0,-37.7218,144.8863,2016,7,0,0,1,0,0,0,0,1
Airport West,3,670000.0,2016-07-16,13.5,3,2,2,657.0,-37.7269,144.8742,2016,7,1,0,0,0,0,0,0,1
Airport West,2,675000.0,2016-07-16,13.5,2,1,1,612.0,-37.7187,144.8765,2016,7,1,0,0,0,0,0,0,1
Airport West,3,910000.0,2016-09-17,13.5,3,1,1,775.0,-37.7231,144.8835,2016,9,1,0,0,0,0,0,0,1
Airport West,4,773000.0,2016-09-17,13.5,5,3,4,531.0,-37.7263,144.8679,2016,9,1,0,0,0,0,0,0,1
Airport West,3,810000.0,2017-03-18,13.5,3,3,2,555.0,-37.7285,144.8694,2017,3,1,0,0,0,0,0,0,1
Airport West,3,715000.0,2017-03-18,13.5,3,2,2,422.0,-37.7164,144.8792,2017,3,1,0,0,0,0,0,0,1
Airport West,3,790000.0,2017-03-18,13.5,3,1,3,614.0,-37.7194,144.8827,2017,3,1,0,0,0,0,0,0,1
Airport West,3,540000.0,2016-06-18,13.5,2,2,1,161.0,-37.7231,144.8802,2016,6,0,1,0,0,0,0,0,1
Airport West,3,825000.0,2016-11-19,13.5,3,2,1,293.0,-37.72,144.8776,2016,11,0,1,0,0,0,0,0,1
Airport West,3,685000.0,2016-05-22,13.5,3,1,1,579.0,-37.7226,144.8733,2016,5,1,0,0,0,0,0,0,1
Airport West,3,805000.0,2016-08-22,13.5,3,1,1,623.0,-37.7184,144.882,2016,8,1,0,0,0,0,0,0,1
Airport West,2,510000.0,2016-08-22,13.5,2,1,1,141.0,-37.7202,144.8797,2016,8,0,0,1,0,0,0,0,1
Airport West,3,612000.0,2016-08-22,13.5,3,2,1,212.0,-37.7181,144.8824,2016,8,1,0,0,0,0,0,0,1
Airport West,3,662000.0,2016-04-23,13.5,3,1,2,612.0,-37.7169,144.8815,2016,4,1,0,0,0,0,0,0,1
Airport West,4,978000.0,2016-09-24,13.5,4,3,2,532.0,-37.7263,144.869,2016,9,1,0,0,0,0,0,0,1
Airport West,3,720000.0,2017-02-25,13.5,3,1,1,585.0,-37.72,144.878,2017,2,1,0,0,0,0,0,0,1
Airport West,4,765000.0,2016-11-27,13.5,4,1,2,509.0,-37.7261,144.8785,2016,11,1,0,0,0,0,0,0,1
Airport West,4,900000.0,2016-11-27,13.5,4,2,3,628.0,-37.7256,144.8739,2016,11,1,0,0,0,0,0,0,1
Albert Park,2,1275000.0,2016-09-03,3.3,2,1,0,120.0,-37.8459,144.9555,2016,9,1,0,0,0,0,0,1,0
Albert Park,2,1455000.0,2016-09-03,3.3,2,1,0,159.0,-37.845,144.9538,2016,9,1,0,0,0,0,0,1,0
Albert Park,3,2850000.0,2017-03-04,3.3,3,2,0,211.0,-37.8481,144.9499,2017,3,1,0,0,0,0,0,1,0
Albert Park,3,1850000.0,2017-03-04,3.3,3,2,0,128.0,-37.8452,144.9488,2017,3,1,0,0,0,0,0,1,0
Albert Park,2,1436000.0,2017-03-04,3.3,2,1,0,130.0,-37.8431,144.9565,2017,3,1,0,0,0,0,0,1,0
Albert Park,2,1110000.0,2016-08-06,3.3,1,1,0,147.0,-37.8444,144.9484,2016,8,1,0,0,0,0,0,1,0
Albert Park,2,1550000.0,2016-05-07,3.3,2,1,1,167.0,-37.8405,144.9521,2016,5,1,0,0,0,0,0,1,0
Albert Park,4,2300000.0,2016-05-07,3.3,4,2,1,153.0,-37.8447,144.9523,2016,5,1,0,0,0,0,0,1,0
Albert Park,3,1550000.0,2016-11-07,3.3,3,2,2,718.0,-37.8443,144.9598,2016,11,0,1,0,0,0,0,1,0
Albert Park,3,1800000.0,2016-11-07,3.3,3,2,1,132.0,-37.8415,144.952,2016,11,1,0,0,0,0,0,1,0
Albert Park,2,2120000.0,2016-09-10,3.3,2,1,1,199.0,-37.8422,144.9554,2016,9,1,0,0,0,0,0,1,0
Albert Park,3,1800000.0,2016-09-10,3.3,3,1,1,253.0,-37.8443,144.9579,2016,9,1,0,0,0,0,0,1,0
Albert Park,3,1800000.0,2016-09-10,3.3,3,2,1,90.0,-37.8421,144.9571,2016,9,1,0,0,0,0,0,1,0
Albert Park,2,1810000.0,2016-12-10,3.3,2,1,0,240.0,-37.8379,144.9539,2016,12,1,0,0,0,0,0,1,0
Albert Park,3,2615000.0,2016-12-10,3.3,3,2,1,177.0,-37.8415,144.9585,2016,12,1,0,0,0,0,0,1,0
Albert Park,5,2100000.0,2016-12-10,3.3,5,2,1,237.0,-37.8436,144.9557,2016,12,1,0,0,0,0,0,1,0
Albert Park,3,1300000.0,2016-12-10,3.3,3,1,0,129.0,-37.8422,144.949,2016,12,1,0,0,0,0,0,1,0
Albert Park,2,1000000.0,2016-11-12,3.3,2,1,0,288.0,-37.8407,144.9523,2016,11,1,0,0,0,0,0,1,0
Albert Park,3,2575000.0,2016-10-15,3.3,3,2,1,228.0,-37.8445,144.9501,2016,10,1,0,0,0,0,0,1,0
Albert Park,2,1322500.0,2016-10-15,3.3,2,1,0,149.0,-37.8443,144.9481,2016,10,1,0,0,0,0,0,1,0
Albert Park,2,1562500.0,2016-10-15,3.3,2,1,0,141.0,-37.8424,144.9562,2016,10,1,0,0,0,0,0,1,0
Albert Park,3,2000000.0,2016-04-16,3.3,3,2,1,211.0,-37.847,144.9575,2016,4,1,0,0,0,0,0,1,0
Albert Park,3,1900000.0,2017-03-18,3.3,3,1,0,209.0,-37.8468,144.9546,2017,3,1,0,0,0,0,0,1,0
Albert Park,3,3010000.0,2017-03-18,3.3,3,2,0,147.0,-37.8473,144.9551,2017,3,1,0,0,0,0,0,1,0
Albert Park,4,2800000.0,2016-06-18,3.3,4,3,1,327.0,-37.8467,144.9475,2016,6,1,0,0,0,0,0,1,0
Albert Park,3,2100000.0,2016-04-23,3.3,2,1,1,120.0,-37.8427,144.9546,2016,4,1,0,0,0,0,0,1,0
Albert Park,3,2000000.0,2016-09-24,3.3,3,1,1,238.0,-37.8461,144.9528,2016,9,1,0,0,0,0,0,1,0
Albert Park,2,1340000.0,2017-02-25,3.3,2,1,0,136.0,-37.846,144.9517,2017,2,1,0,0,0,0,0,1,0
Albert Park,3,1801000.0,2017-02-25,3.3,3,1,1,202.0,-37.8429,144.9493,2017,2,1,0,0,0,0,0,1,0
Albert Park,3,3755000.0,2016-07-26,3.3,3,2,2,325.0,-37.8413,144.95,2016,7,1,0,0,0,0,0,1,0
Albert Park,4,2140000.0,2016-06-27,3.3,3,2,1,183.0,-37.8434,144.9495,2016,6,1,0,0,0,0,0,1,0
Albert Park,2,1750000.0,2016-11-27,3.3,2,1,1,162.0,-37.8416,144.9488,2016,11,1,0,0,0,0,0,1,0
Albert Park,2,980000.0,2016-05-28,3.3,2,1,0,79.0,-37.8387,144.9519,2016,5,1,0,0,0,0,0,1,0
Albert Park,3,2030000.0,2016-08-28,3.3,3,2,0,152.0,-37.8488,144.9551,2016,8,1,0,0,0,0,0,1,0
Albert Park,3,1740000.0,2016-08-28,3.3,3,2,2,147.0,-37.8448,144.9453,2016,8,1,0,0,0,0,0,1,0
Albert Park,1,985000.0,2016-07-30,3.3,1,1,0,81.0,-37.8411,144.9497,2016,7,1,0,0,0,0,0,1,0
Alphington,4,2000000.0,2016-09-03,6.4,3,2,4,853.0,-37.7707,145.0318,2016,9,1,0,0,0,1,0,0,0
Alphington,3,1110000.0,2016-09-03,6.4,3,2,2,208.0,-37.7854,145.0325,2016,9,1,0,0,0,1,0,0,0
Alphington,3,1492000.0,2017-03-04,6.4,3,2,2,411.0,-37.7713,145.0279,2017,3,1,0,0,0,1,0,0,0
Alphington,4,1717500.0,2016-10-08,6.4,4,2,1,599.0,-37.7717,145.031,2016,10,1,0,0,0,1,0,0,0
Alphington,2,525500.0,2016-11-12,6.4,2,1,1,88.0,-37.7791,145.0306,2016,11,0,0,1,0,1,0,0,0
Alphington,2,805000.0,2016-11-12,6.4,2,2,3,155.0,-37.7804,145.0308,2016,11,0,1,0,0,1,0,0,0
Alphington,3,2000000.0,2016-10-15,6.4,3,3,2,686.0,-37.78,145.0341,2016,10,1,0,0,0,1,0,0,0
Alphington,3,1540000.0,2016-04-16,6.4,3,1,2,592.0,-37.7755,145.0288,2016,4,1,0,0,0,1,0,0,0
Alphington,2,820000.0,2017-03-18,6.4,2,1,1,183.0,-37.7747,145.0264,2017,3,0,0,1,0,1,0,0,0
Alphington,4,1830000.0,2016-11-19,6.4,4,2,2,606.0,-37.7743,145.0316,2016,11,1,0,0,0,1,0,0,0
Alphington,4,2100000.0,2016-11-19,6.4,4,2,2,575.0,-37.7723,145.0319,2016,11,1,0,0,0,1,0,0,0
Alphington,3,865000.0,2016-05-22,6.4,3,1,1,180.0,-37.7802,145.0243,2016,5,1,0,0,0,1,0,0,0
Alphington,3,1165000.0,2016-06-27,6.4,3,1,2,979.0,-37.7792,145.029,2016,6,1,0,0,0,1,0,0,0
Alphington,4,1900000.0,2016-11-27,6.4,4,2,2,556.0,-37.7844,145.0225,2016,11,1,0,0,0,1,0,0,0
Alphington,3,1485000.0,2016-08-28,6.4,3,0,0,597.0,-37.7781,145.0284,2016,8,1,0,0,0,1,0,0,0
Alphington,4,1950000.0,2016-07-30,6.4,4,2,3,589.0,-37.7719,145.0309,2016,7,1,0,0,0,1,0,0,0
Altona,3,520000.0,2016-09-03,13.8,3,2,1,352.0,-37.87,144.825,2016,9,1,0,0,0,0,0,0,1
Altona,5,1525000.0,2016-12-03,13.8,5,3,3,729.0,-37.8721,144.8105,2016,12,1,0,0,0,0,0,0,1
Altona,2,720000.0,2016-02-04,13.8,2,1,2,292.0,-37.8687,144.8197,2016,2,0,1,0,0,0,0,0,1
Altona,3,1120000.0,2017-03-04,13.8,3,1,2,506.0,-37.8693,144.8375,2017,3,1,0,0,0,0,0,0,1
Altona,4,780000.0,2016-06-04,13.8,4,1,4,655.0,-37.868,144.8154,2016,6,1,0,0,0,0,0,0,1
Altona,3,630000.0,2016-08-06,13.8,2,1,2,311.0,-37.8702,144.8143,2016,8,0,0,1,0,0,0,0,1
Altona,2,406000.0,2016-08-06,13.8,2,1,1,65.0,-37.8693,144.8171,2016,8,0,0,1,0,0,0,0,1
Altona,3,660000.0,2016-05-07,13.8,3,1,1,602.0,-37.8616,144.8116,2016,5,1,0,0,0,0,0,0,1
Altona,3,683500.0,2016-11-07,13.8,3,1,1,530.0,-37.8594,144.817,2016,11,1,0,0,0,0,0,0,1
Altona,2,580000.0,2016-10-08,13.8,2,1,1,225.0,-37.8696,144.827,2016,10,0,0,1,0,0,0,0,1
Altona,3,1335000.0,2016-10-08,13.8,3,1,4,777.0,-37.8697,144.8249,2016,10,1,0,0,0,0,0,0,1
Altona,3,800000.0,2016-10-08,13.8,3,2,2,280.0,-37.8734,144.8143,2016,10,0,1,0,0,0,0,0,1
Altona,2,510000.0,2016-09-10,13.8,2,1,1,127.0,-37.8686,144.8182,2016,9,0,0,1,0,0,0,0,1
Altona,4,1070000.0,2016-09-10,13.8,4,2,2,695.0,-37.8733,144.8147,2016,9,1,0,0,0,0,0,0,1
Altona,2,425000.0,2016-09-10,13.8,2,1,2,115.0,-37.871,144.8185,2016,9,0,0,1,0,0,0,0,1
Altona,3,605000.0,2016-12-10,13.8,3,2,2,230.0,-37.8646,144.827,2016,12,0,0,1,0,0,0,0,1
Altona,3,705000.0,2017-02-11,13.8,3,2,2,197.0,-37.8579,144.8181,2017,2,0,1,0,0,0,0,0,1
Altona,4,845000.0,2017-02-11,13.8,4,1,2,745.0,-37.8658,144.8155,2017,2,1,0,0,0,0,0,0,1
Altona,3,743000.0,2016-11-12,13.8,3,2,2,211.0,-37.8698,144.816,2016,11,0,1,0,0,0,0,0,1
Altona,3,730000.0,2016-08-13,13.8,3,2,1,69.0,-37.868,144.8286,2016,8,0,0,1,0,0,0,0,1
Altona,3,635000.0,2016-05-14,13.8,3,1,4,625.0,-37.8611,144.8114,2016,5,1,0,0,0,0,0,0,1
Altona,2,620000.0,2016-05-14,13.8,2,1,1,168.0,-37.8676,144.8202,2016,5,0,0,1,0,0,0,0,1
Altona,2,447000.0,2016-10-15,13.8,2,1,1,137.0,-37.8655,144.8299,2016,10,0,0,1,0,0,0,0,1
Altona,3,730000.0,2016-04-16,13.8,3,2,1,70.0,-37.868,144.8287,2016,4,0,0,1,0,0,0,0,1
Altona,3,678000.0,2016-04-16,13.8,3,1,2,606.0,-37.8608,144.8124,2016,4,1,0,0,0,0,0,0,1
Altona,2,580000.0,2016-07-16,13.8,2,2,1,175.0,-37.8687,144.8268,2016,7,0,0,1,0,0,0,0,1
Altona,3,712000.0,2016-09-17,13.8,3,1,2,363.0,-37.8674,144.8375,2016,9,1,0,0,0,0,0,0,1
Altona,3,840000.0,2017-03-18,13.8,3,2,2,534.0,-37.86,144.8245,2017,3,1,0,0,0,0,0,0,1
Altona,3,980000.0,2016-11-19,13.8,3,1,2,724.0,-37.8672,144.817,2016,11,1,0,0,0,0,0,0,1
Altona,3,605100.0,2016-05-22,13.8,3,2,0,265.0,-37.8583,144.8172,2016,5,0,1,0,0,0,0,0,1
Altona,3,880000.0,2016-08-22,13.8,3,3,1,577.0,-37.8699,144.8235,2016,8,1,0,0,0,0,0,0,1
Altona,3,577000.0,2016-04-23,13.8,3,2,1,205.0,-37.8684,144.815,2016,4,0,0,1,0,0,0,0,1
Altona,4,1030000.0,2017-02-25,13.8,4,1,0,797.0,-37.8663,144.8387,2017,2,1,0,0,0,0,0,0,1
Altona,3,605000.0,2017-02-25,13.8,3,1,2,181.0,-37.8659,144.822,2017,2,0,0,1,0,0,0,0,1
Altona,3,753000.0,2016-06-27,13.8,3,2,2,529.0,-37.8612,144.8247,2016,6,1,0,0,0,0,0,0,1
Altona,2,857000.0,2016-11-27,13.8,2,2,1,675.0,-37.8653,144.8129,2016,11,1,0,0,0,0,0,0,1
Altona,3,1500000.0,2016-05-28,13.8,3,1,1,929.0,-37.8651,144.832,2016,5,1,0,0,0,0,0,0,1
Altona,3,730000.0,2016-05-28,13.8,3,2,1,70.0,-37.868,144.8285,2016,5,0,0,1,0,0,0,0,1
Altona,3,900000.0,2016-05-28,13.8,3,1,4,697.0,-37.871,144.8075,2016,5,1,0,0,0,0,0,0,1
Altona,3,740000.0,2016-08-28,13.8,3,1,2,604.0,-37.8631,144.8195,2016,8,1,0,0,0,0,0,0,1
Altona,4,931000.0,2016-08-28,13.8,4,2,3,532.0,-37.8637,144.8365,2016,8,1,0,0,0,0,0,0,1
Altona,2,535600.0,2016-07-30,13.8,2,1,1,154.0,-37.8646,144.8272,2016,7,1,0,0,0,0,0,0,1
Altona North,3,781000.0,2016-09-03,11.1,3,1,2,533.0,-37.8291,144.835,2016,9,1,0,0,0,0,0,0,1
Altona North,3,750000.0,2017-03-04,11.1,3,1,3,554.0,-37.8449,144.85,2017,3,1,0,0,0,0,0,0,1
Altona North,2,421000.0,2017-03-04,11.1,2,1,1,77.0,-37.8351,144.8529,2017,3,0,1,0,0,0,0,0,1
Altona North,3,1405000.0,2017-03-04,11.1,3,1,3,655.0,-37.8338,144.8562,2017,3,1,0,0,0,0,0,0,1
Altona North,3,683000.0,2016-06-04,11.1,3,1,2,534.0,-37.8284,144.8355,2016,6,1,0,0,0,0,0,0,1
Altona North,3,623000.0,2016-06-04,11.1,3,1,3,540.0,-37.8267,144.8368,2016,6,1,0,0,0,0,0,0,1
Altona North,3,588000.0,2016-05-07,11.1,3,1,1,328.0,-37.838,144.8555,2016,5,1,0,0,0,0,0,0,1
Altona North,3,710000.0,2016-11-07,11.1,3,1,3,540.0,-37.8294,144.8378,2016,11,1,0,0,0,0,0,0,1
Altona North,4,875000.0,2016-10-08,11.1,3,1,4,559.0,-37.8448,144.8529,2016,10,1,0,0,0,0,0,0,1
Altona North,3,700000.0,2016-12-10,11.1,3,1,3,554.0,-37.8449,144.85,2016,12,1,0,0,0,0,0,0,1
Altona North,2,640000.0,2017-03-11,11.1,2,1,1,252.0,-37.8397,144.8602,2017,3,0,1,0,0,0,0,0,1
Altona North,4,650000.0,2016-06-12,11.1,4,1,4,558.0,-37.8451,144.8529,2016,6,1,0,0,0,0,0,0,1
Altona North,3,675000.0,2016-05-14,11.1,3,2,2,171.0,-37.8337,144.8554,2016,5,1,0,0,0,0,0,0,1
Altona North,3,708000.0,2016-10-15,11.1,3,1,2,585.0,-37.8258,144.8523,2016,10,1,0,0,0,0,0,0,1
Altona North,4,965000.0,2016-10-15,11.1,4,1,4,851.0,-37.8345,144.8444,2016,10,1,0,0,0,0,0,0,1
Altona North,3,680000.0,2016-11-19,11.1,3,1,3,551.0,-37.8254,144.8514,2016,11,1,0,0,0,0,0,0,1
Altona North,3,770000.0,2016-11-19,11.1,3,1,3,602.0,-37.8327,144.8451,2016,11,1,0,0,0,0,0,0,1
Altona North,3,923000.0,2016-05-22,11.1,3,1,2,740.0,-37.8269,144.8455,2016,5,1,0,0,0,0,0,0,1
Altona North,4,693000.0,2016-05-22,11.1,4,2,4,315.0,-37.8391,144.8467,2016,5,1,0,0,0,0,0,0,1
Altona North,3,620000.0,2016-08-22,11.1,5,2,2,276.0,-37.8262,144.8443,2016,8,1,0,0,0,0,0,0,1
Altona North,3,728500.0,2016-08-22,11.1,3,1,1,531.0,-37.8277,144.8385,2016,8,1,0,0,0,0,0,0,1
Altona North,3,931000.0,2016-08-22,11.1,3,2,1,590.0,-37.8382,144.8649,2016,8,1,0,0,0,0,0,0,1
Altona North,3,988000.0,2016-08-22,11.1,3,1,4,715.0,-37.8423,144.8632,2016,8,1,0,0,0,0,0,0,1
Altona North,3,590000.0,2016-04-23,11.1,3,1,2,561.0,-37.8444,144.8491,2016,4,1,0,0,0,0,0,0,1
Altona North,2,610000.0,2016-09-24,11.1,2,1,2,691.0,-37.834,144.8553,2016,9,1,0,0,0,0,0,0,1
Altona North,3,815000.0,2017-02-25,11.1,3,2,3,555.0,-37.8318,144.8388,2017,2,1,0,0,0,0,0,0,1
Altona North,4,970000.0,2017-02-25,11.1,4,1,2,708.0,-37.833,144.8494,2017,2,1,0,0,0,0,0,0,1
Altona North,4,760000.0,2016-06-27,11.1,4,1,3,668.0,-37.8262,144.8439,2016,6,1,0,0,0,0,0,0,1
Altona North,4,847500.0,2016-06-27,11.1,4,3,1,252.0,-37.8393,144.8568,2016,6,0,1,0,0,0,0,0,1
Altona North,4,1200000.0,2016-11-27,11.1,4,1,4,633.0,-37.8375,144.8541,2016,11,1,0,0,0,0,0,0,1
Altona North,3,700000.0,2016-11-27,11.1,3,1,1,557.0,-37.8441,144.8505,2016,11,1,0,0,0,0,0,0,1
Altona North,3,625000.0,2016-05-28,11.1,3,1,1,536.0,-37.8285,144.8351,2016,5,1,0,0,0,0,0,0,1
Altona North,2,292000.0,2016-08-28,11.1,2,1,1,153.0,-37.8332,144.8649,2016,8,0,0,1,0,0,0,0,1
Armadale,2,550000.0,2016-12-03,6.3,2,1,0,861.0,-37.8539,145.0284,2016,12,0,0,1,0,0,0,1,0
Armadale,3,1205000.0,2016-12-03,6.3,3,2,2,101.0,-37.854,145.0135,2016,12,0,1,0,0,0,0,1,0
Armadale,3,1939000.0,2016-12-03,6.3,3,2,2,296.0,-37.8614,145.0274,2016,12,1,0,0,0,0,0,1,0
Armadale,3,1870000.0,2017-03-04,6.3,3,1,1,217.0,-37.8592,145.0182,2017,3,1,0,0,0,0,0,1,0
Armadale,3,2050000.0,2017-03-04,6.3,3,2,1,205.0,-37.8574,145.0281,2017,3,1,0,0,0,0,0,1,0
Armadale,3,1586000.0,2016-05-07,6.3,2,2,2,246.0,-37.8566,145.0116,2016,5,0,1,0,0,0,0,1,0
Armadale,1,1435000.0,2016-10-08,6.3,2,2,1,144.0,-37.8564,145.0228,2016,10,1,0,0,0,0,0,1,0
Armadale,2,1210000.0,2016-11-12,6.3,2,1,0,249.0,-37.8543,145.016,2016,11,1,0,0,0,0,0,1,0
Armadale,4,2801000.0,2016-11-12,6.3,4,2,2,624.0,-37.8536,145.0173,2016,11,1,0,0,0,0,0,1,0
Armadale,1,390000.0,2016-05-14,6.3,1,1,0,881.0,-37.8614,145.0222,2016,5,0,0,1,0,0,0,1,0
Armadale,3,1800000.0,2016-10-15,6.3,3,2,2,405.0,-37.8545,145.0145,2016,10,1,0,0,0,0,0,1,0
Armadale,4,2200000.0,2016-10-15,6.3,4,1,2,495.0,-37.8613,145.0264,2016,10,1,0,0,0,0,0,1,0
Armadale,2,1125000.0,2016-09-17,6.3,3,1,2,169.0,-37.851,145.0161,2016,9,1,0,0,0,0,0,1,0
Armadale,3,2250000.0,2016-09-17,6.3,3,3,1,301.0,-37.8511,145.0167,2016,9,1,0,0,0,0,0,1,0
Armadale,3,2360000.0,2017-03-18,6.3,3,2,0,336.0,-37.8558,145.015,2017,3,1,0,0,0,0,0,1,0
Armadale,2,1900000.0,2017-03-18,6.3,2,2,0,207.0,-37.8571,145.0224,2017,3,1,0,0,0,0,0,1,0
Armadale,3,2365000.0,2016-06-18,6.3,3,2,1,316.0,-37.8521,145.019,2016,6,1,0,0,0,0,0,1,0
Armadale,3,1300000.0,2016-06-18,6.3,2,1,2,212.0,-37.8542,145.0149,2016,6,1,0,0,0,0,0,1,0
Armadale,3,1900000.0,2016-05-22,6.3,3,1,2,328.0,-37.8559,145.0158,2016,5,1,0,0,0,0,0,1,0
Armadale,2,872000.0,2017-02-25,6.3,2,1,1,1194.0,-37.8604,145.0147,2017,2,0,0,1,0,0,0,1,0
Armadale,3,1285000.0,2017-02-25,6.3,3,1,2,186.0,-37.8554,145.0173,2017,2,1,0,0,0,0,0,1,0
Armadale,4,3660000.0,2017-02-25,6.3,4,3,2,421.0,-37.8593,145.0275,2017,2,1,0,0,0,0,0,1,0
